Duration for P=2 processors and k=1,...,24 where n=2^k

k duration
1 3.589404514059424400e-05
2 1.990003511309623718e-06
3 1.990003511309623718e-06
4 3.474007826298475266e-06
5 4.753994289785623550e-06
6 7.172988262027502060e-06
7 1.861900091171264648e-05
8 2.794602187350392342e-05
9 5.259498720988631248e-05
10 1.063600066117942333e-04
11 2.142289886251091957e-04
12 4.427329986356198788e-04
13 8.514520013704895973e-04
14 1.555424008984118700e-03
15 3.644769021775573492e-03
16 6.733721995260566473e-03
17 1.327912398846819997e-02
18 2.625535399420186877e-02
19 5.211105401394888759e-02
20 1.058934999746270478e-01
21 2.116173219983465970e-01
22 4.266456219484098256e-01
23 8.664348989841528237e-01
24 1.751276254013646394e+00
