Log of error for P=2 processors and k=1,...,24 where n=2^k

k log(error)
1 -6.912140616802772364e+00
2 -1.394174564402378635e+01
3 -2.745618814471558622e+01
4 -3.535050620855721348e+01
5 -3.465735902799726631e+01
6 -3.465735902799726631e+01
7 -3.465735902799726631e+01
8 -3.465735902799726631e+01
9 -3.465735902799726631e+01
10 -3.465735902799726631e+01
11 -3.465735902799726631e+01
12 -3.465735902799726631e+01
13 -3.465735902799726631e+01
14 -3.465735902799726631e+01
15 -3.465735902799726631e+01
16 -3.465735902799726631e+01
17 -3.465735902799726631e+01
18 -3.465735902799726631e+01
19 -3.465735902799726631e+01
20 -3.465735902799726631e+01
21 -3.465735902799726631e+01
22 -3.465735902799726631e+01
23 -3.465735902799726631e+01
24 -3.465735902799726631e+01
