Duration for P=8 processors and k=1,...,24 where n=2^k

k duration
1 6.001099245622754097e-05
2 1.580978278070688248e-06
3 9.529758244752883911e-07
4 8.760252967476844788e-07
5 9.890063665807247162e-07
6 9.440118446946144104e-07
7 1.040985807776451111e-06
8 1.337029971182346344e-06
9 1.868000254034996033e-06
10 2.885994035750627518e-06
11 5.007954314351081848e-06
12 9.241979569196701050e-06
13 1.772696850821375847e-05
14 3.460602601990103722e-05
15 6.840104470029473305e-05
16 1.359909656457602978e-04
17 2.712770365178585052e-04
18 5.374989705160260201e-04
19 9.883709717541933060e-04
20 2.051924006082117558e-03
21 3.887649974785745144e-03
22 7.652579981368035078e-03
23 1.565131300594657660e-02
24 3.049477899912744761e-02
