log(h)                    log(error)
--------------------------------------------------
-2.07944                  -7.063997530594313679e-01
-2.772588722239781145e+00 -1.136784293507034027e+00
-3.465735902799726542e+00 -1.722919881236704365e+00
-4.158883083359671495e+00 -2.367226929065235463e+00
-4.852030263919616893e+00 -3.036957111896430472e+00
-5.545177444479562290e+00 -3.718628148564272262e+00
-6.238324625039507687e+00 -4.406093192856050500e+00
-6.931471805599453084e+00 -5.096413029839771625e+00
-7.624618986159398482e+00 -5.788149937955268776e+00
-8.317766166719342991e+00 -6.480592828206305001e+00
-9.010913347279288388e+00 -7.173388074442617501e+00
